ID,Question,Section,Type,Subskill,Keywords,QuestionTotal
2025NOV,1.1,Comp,ICQ,style,style,2
2025NOV,1.2,Comp,DCQ,fos,metaphor,3
2025NOV,1.3,Comp,PU,argumentation,positions,4
2025NOV,1.4,Comp,LF,sentence structure,rhetorical questions,3
2025NOV,1.5,Comp,DCQ,diction,intention/tone/diction,4
2025NOV,1.6,Comp,ICQ,fos,figure of speech,3
2025NOV,1.7,Comp,PU,inference,"explain, means",2
2025NOV,1.8,Comp,C,mixed,"critically discuss, specific diction",4
2025NOV,2.0,Summary,Summary,synthesis,"speech, junior grades",10
2025NOV,3.1,Seen,LF,punctuation,rhythm,3
2025NOV,3.2,Seen,LF,language,pronouns,2
2025NOV,3.3,Seen,PU,diction,effective,3
2025NOV,3.4,Seen,PU,diction,bittersweet,2
2025NOV,3.5,Seen,C,mixed,"critically evaluate, specific details",5
2025NOV,4.1,Unseen,ICQ,fos,imagery,3
2025NOV,4.2,Unseen,PU,diction,use of,2
2025NOV,4.3,Unseen,DCQ,style,literal and figurative,3
2025NOV,4.4,Unseen,DCQ,rhythm,alliteration,3
2025NOV,4.5,Unseen,C,mixed,"personification, mood, specfic details",4
2025NOV,5.1,Crit,LF,sentence structure,imperative declarative iterrogative,3
2025NOV,5.2.1,Crit,LF,error,full sentence,1
2025NOV,5.2.2,Crit,DCQ,fos,cliché,3
2025NOV,5.3.1,Crit,VL,diction,hashtag,2
2025NOV,5.3.2,Crit,LF,language,word skill,2
2025NOV,5.4,Crit,VL,style,layout,4
2025NOV,5.5.1,Crit,LF,sentence structure,simple compound complex,2
2025NOV,5.5.2,Crit,LF,sentence structure,evaluate effectiveness (two sentences),2
2025NOV,5.6,Crit,VL,style,infographic,2
2025NOV,5.7,Crit,VL,style,visual + verbal details,4
2025NOV,6.1,Lang,LF,punctuation,colon,1
2025NOV,6.2,Lang,LF,punctuation,parenthesis,1
2025NOV,6.3,Lang,LF,error,tautology,1
2025NOV,6.4.1,Lang,LF,error,split infinitive,1
2025NOV,6.4.2,Lang,LF,language,word skill,1
2025NOV,6.4.3,Lang,LF,punctuation,hyphen,1
2025NOV,6.4.4,Lang,PU,diction,implied,1
2025NOV,6.5.1,Lang,LF,sentence structure,subject verb object,1
2025NOV,6.5.2,Lang,LF,error,concord,1
2025NOV,6.5.3,Lang,LF,punctuation,apostrophe,1
2025MAY,1.1,Comp,ICQ,fos,figure of speech,3
2025MAY,1.2,Comp,PU,argumentation,"opinion, is valid",3
2025MAY,1.3.1,Comp,LF,punctuation,dash,2
2025MAY,1.3.2,Comp,PU,inference,mean by,2
2025MAY,1.4,Comp,LF,language,acronym,3
2025MAY,1.5,Comp,PU,diction,"comment, benign, malicious",3
2025MAY,1.6,Comp,PU,diction,argument,2
2025MAY,1.7,Comp,PU,argumentation,"credibility, add to, diminish",3
2025MAY,1.8,Comp,C,mixed,"critically discuss, writer's opinion, to what extent",4
2025MAY,2.0,Summary,Summary,synthesis,"principle's newsletter, to parents, screentime",10
2025MAY,3.1,Seen,LF,punctuation,rhythm,3
2025MAY,3.2,Seen,ICQ,fos,figure of speech,3
2025MAY,3.3,Seen,ICQ,style,repetition,2
2025MAY,3.4,Seen,PU,diction,"difference, meaning",3
